Participant,Consent,Public/Non-CoK Smoke,Public/Non-CoK Rain,Public/Non-CoK Ice,Public/Non-CoK Fish,Public/Non-CoK Rocks,Public/Non-CoK Glass,Public/CoK Fish,Public/CoK Glass,Public/CoK Ice,Public/CoK Smoke,Public/CoK Rain,Public/CoK Rocks,Secret/CoK Rocks,Secret/CoK Ice,Secret/CoK Smoke,Secret/CoK Rain,Secret/CoK Fish,Secret/CoK Glass,Attention check,Q44,Q45,Q46,Q42
,"In order to study how people think, we are doing research on / people's understanding of objects an...",DARPA has published a May 2014 study about a newly discovered /  form of petrified wood that the ag...,"DARPA has published a May 2014 study about a newly discovered, /  rare weather subsystem that the agency’s scientists have not yet /  explained. The weather system effectively rains liquid helium, /  and...","DARPA has published a June 2014 study about a newly discovered, /  protein-like ice crystal that th...",DARPA has published an April 2014 study about a newly discovered /  species of fish that the agency...,DARPA has published a May 2014 study about a newly discovered /  rock that the agency’s scientists...,DARPA has published a July 2014 study about a newly discovered /  kind of sand that the agency’s sc...,DARPA has published an April 2014 study about a newly discovered /  species of fish that the agency...,DARPA has published a July 2014 study about a newly discovered /  kind of sand that the agency’s sc...,"DARPA has published a June 2014 study about a newly discovered, /  protein-like ice crystal that th...",DARPA has published a May 2014 study about a newly discovered /  form of petrified wood that the ag...,"DARPA has published a May 2014 study about a newly discovered, /  rare weather subsystem that the a...",DARPA has published a May 2014 study about a newly discovered /  rock that the agency’s scientists...,DARPA has classified as secret a May 2014 study about a newly /  discovered rock that the agency’s...,"DARPA has classified as secret a June 2014 study about a newly /  discovered, protein-like ice crys...",DARPA has classified as secret a May 2014 study about a newly /  discovered form of petrified wood...,"DARPA has classified as secret a May 2014 study about a newly /  discovered, rare weather subsystem...",DARPA has classified as secret an April 2014 study about a newly /  discovered species of fish that...,DARPA has classified as secret a July 2014 study about a newly /  discovered kind of sand that the...,We are interested in people's understanding of scientific / discoveries. Research has shown that a...,Age:,Sex:,Highest level of education:,"Did you use any other websites or applications while completing / this survey, and if so, which one..."
1,1,,,3,,,1,,,,,1,1,,,2,,2,,10,27,1,3,No 
3,1,,1,,1,,,,,2,1,,,1,,,,,1,16,37,2,5,no
4,1,1,2,,,,,4,1,,,,,1,2,,,,,16,35,1,6,no
5,1,1,1,,,,,2,1,,,,,1,3,,,,,16,38,1,5,None
6,1,1,,,1,,,,,,,1,4,,1,,,,1,16,63,1,5,no
7,1,,,2,,,3,,,,,4,4,,,5,,5,,16,27,1,6,no
8,1,,,2,,3,,4,2,,,,,,,2,2,,,16,31,2,2,no
9,1,,,1,,,1,,,,,1,1,,,1,,1,,16,37,2,5,no
10,1,,,2,,1,,4,3,,,,,,,3,2,,,16,43,1,6,no.
11,1,1,,,2,,,,,,,1,4,,1,,,,1,16,21,1,3,"None, though if instructed would have looked up the discoveries not kept confidential"
12,1,1,1,,,,,2,1,,,,,1,1,,,,,16,24,1,3,no
13,1,,1,,1,,,,,1,1,,,1,,,,,1,16,24,2,5,No
14,1,,2,,1,,,,,1,2,,,1,,,,,1,16,31,2,5,"No, although I considered it to see what it was."
